Benefits_id,Benefits_title,Benefits_description,Use_in,created_by,created_dt,updated_by,updated_dt
AR_BENEFITE_229,I can soar,(example),,Praveen,2020-06-24 10:00:44.464024+00:00,Praveen,2020-06-24 10:00:44.464028+00:00,Digimonk
AR_BENEFITE_230,I can recieve an audit,(example),,Praveen,2020-06-24 10:00:44.485975+00:00,Praveen,2020-06-24 10:00:44.485980+00:00,Digimonk
AR_BENEFITE_231,I can manage partners,(example),,Praveen,2020-06-24 10:00:44.507939+00:00,Praveen,2020-06-24 10:00:44.507944+00:00,Digimonk
AR_BENEFITE_232,Benefit 1,(edit as needed),,Praveen,2020-06-24 10:00:44.529257+00:00,Praveen,2020-06-24 10:00:44.529261+00:00,Digimonk
AR_BENEFITE_233,Benefit 2,(edit as needed),,Praveen,2020-06-24 10:00:44.550575+00:00,Praveen,2020-06-24 10:00:44.550580+00:00,Digimonk
AR_BENEFITE_234,Benefit 3,(edit as needed),,Praveen,2020-06-24 10:00:44.571956+00:00,Praveen,2020-06-24 10:00:44.571961+00:00,Digimonk
AR_BENEFITE_235,Benefit 4,(edit as needed),,Praveen,2020-06-24 10:00:44.593312+00:00,Praveen,2020-06-24 10:00:44.593316+00:00,Digimonk
AR_BENEFITE_236,Benefit 5,(edit as needed),,Praveen,2020-06-24 10:00:44.614626+00:00,Praveen,2020-06-24 10:00:44.614631+00:00,Digimonk
AR_BENEFITE_237,Benefit 6,(edit as needed),,Praveen,2020-06-24 10:00:44.635954+00:00,Praveen,2020-06-24 10:00:44.635959+00:00,Digimonk
AR_BENEFITE_238,Benefit 7,(edit as needed),,Praveen,2020-06-24 10:00:44.657198+00:00,Praveen,2020-06-24 10:00:44.657202+00:00,Digimonk
AR_BENEFITE_239,Benefit 8,(edit as needed),,Praveen,2020-06-24 10:00:44.678435+00:00,Praveen,2020-06-24 10:00:44.678440+00:00,Digimonk
